discount_tier_id,offer_id,tier_sequence,supplier_min_qty,supplier_max_qty,supplier_tier_uom,min_inclusive,max_inclusive,discount_percentage,source_text,normalized_min_qty,normalized_max_qty,buyer_uom,conversion_factor,normalization_status
DT-0052,OFF-0046,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,12450.0,EA,50.0,NORMALIZED
DT-0053,OFF-0046,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,12500.0,24950.0,EA,50.0,NORMALIZED
DT-0054,OFF-0046,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,25000.0,,EA,50.0,NORMALIZED
DT-0055,OFF-0047,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,24900.0,EA,100.0,NORMALIZED
DT-0056,OFF-0047,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,25000.0,49900.0,EA,100.0,NORMALIZED
DT-0057,OFF-0047,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,50000.0,,EA,100.0,NORMALIZED
DT-0058,OFF-0048,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,24900.0,EA,100.0,NORMALIZED
DT-0059,OFF-0048,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,25000.0,49900.0,EA,100.0,NORMALIZED
DT-0060,OFF-0048,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,50000.0,,EA,100.0,NORMALIZED
DT-0061,OFF-0049,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0062,OFF-0049,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0063,OFF-0049,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0064,OFF-0050,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0065,OFF-0050,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0066,OFF-0050,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0067,OFF-0051,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0068,OFF-0051,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0069,OFF-0051,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0070,OFF-0052,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0071,OFF-0052,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0072,OFF-0052,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0073,OFF-0053,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0074,OFF-0053,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0075,OFF-0053,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0076,OFF-0054,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0077,OFF-0054,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0078,OFF-0054,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,12500.0,,EA,25.0,NORMALIZED
DT-0079,OFF-0095,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0080,OFF-0095,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0081,OFF-0095,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0082,OFF-0096,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0083,OFF-0096,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0084,OFF-0096,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0085,OFF-0097,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,12450.0,EA,50.0,NORMALIZED
DT-0086,OFF-0097,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,12500.0,24950.0,EA,50.0,NORMALIZED
DT-0087,OFF-0097,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,25000.0,,EA,50.0,NORMALIZED
DT-0088,OFF-0098,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0089,OFF-0098,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0090,OFF-0098,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,12500.0,,EA,25.0,NORMALIZED
DT-0091,OFF-0099,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,124500.0,EA,500.0,NORMALIZED
DT-0092,OFF-0099,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,125000.0,249500.0,EA,500.0,NORMALIZED
DT-0093,OFF-0099,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,250000.0,,EA,500.0,NORMALIZED
DT-0094,OFF-0100,1,0.0,249.0,REEL,True,False,1.5,0–249 REEL = 1.5%,0.0,2988.0,ROLL,12.0,NORMALIZED
DT-0095,OFF-0100,2,250.0,499.0,REEL,True,False,3.0,250–499 REEL = 3.0%,3000.0,5988.0,ROLL,12.0,NORMALIZED
DT-0096,OFF-0100,3,500.0,,REEL,True,False,5.0,>500 REEL = 5.0%,6000.0,,ROLL,12.0,NORMALIZED
DT-0097,OFF-0101,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,124500.0,EA,500.0,NORMALIZED
DT-0098,OFF-0101,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,125000.0,249500.0,EA,500.0,NORMALIZED
DT-0099,OFF-0101,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,250000.0,,EA,500.0,NORMALIZED
DT-0100,OFF-0102,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,49800.0,EA,200.0,NORMALIZED
DT-0101,OFF-0102,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,50000.0,99800.0,EA,200.0,NORMALIZED
DT-0102,OFF-0102,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,100000.0,,EA,200.0,NORMALIZED
DT-0103,OFF-0103,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0104,OFF-0103,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0105,OFF-0103,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,12500.0,,EA,25.0,NORMALIZED
DT-0106,OFF-0104,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0107,OFF-0104,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0108,OFF-0104,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0109,OFF-0105,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,49800.0,EA,200.0,NORMALIZED
DT-0110,OFF-0105,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,50000.0,99800.0,EA,200.0,NORMALIZED
DT-0111,OFF-0105,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,100000.0,,EA,200.0,NORMALIZED
DT-0112,OFF-0106,1,0.0,249.0,BOX,True,False,1.5,0–249 BOX = 1.5%,0.0,24900.0,EA,100.0,NORMALIZED
DT-0113,OFF-0106,2,250.0,499.0,BOX,True,False,3.0,250–499 BOX = 3.0%,25000.0,49900.0,EA,100.0,NORMALIZED
DT-0114,OFF-0106,3,500.0,,BOX,True,False,5.0,>500 BOX = 5.0%,50000.0,,EA,100.0,NORMALIZED
DT-0115,OFF-0107,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0116,OFF-0107,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0117,OFF-0107,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0118,OFF-0108,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,49800.0,EA,200.0,NORMALIZED
DT-0119,OFF-0108,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,50000.0,99800.0,EA,200.0,NORMALIZED
DT-0120,OFF-0108,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,100000.0,,EA,200.0,NORMALIZED
DT-0121,OFF-0109,1,0.0,249.0,BAG,True,False,1.5,0–249 BAG = 1.5%,0.0,249.0,BAG,1.0,NORMALIZED
DT-0122,OFF-0109,2,250.0,499.0,BAG,True,False,3.0,250–499 BAG = 3.0%,250.0,499.0,BAG,1.0,NORMALIZED
DT-0123,OFF-0109,3,500.0,,BAG,True,False,5.0,>500 BAG = 5.0%,500.0,,BAG,1.0,NORMALIZED
DT-0124,OFF-0110,1,0.0,249.0,CARTON,True,False,1.5,0–249 CARTON = 1.5%,0.0,6225.0,EA,25.0,NORMALIZED
DT-0125,OFF-0110,2,250.0,499.0,CARTON,True,False,3.0,250–499 CARTON = 3.0%,6250.0,12475.0,EA,25.0,NORMALIZED
DT-0126,OFF-0110,3,500.0,,CARTON,True,False,5.0,>500 CARTON = 5.0%,12500.0,,EA,25.0,NORMALIZED
