sku_id,sku_name,category,buyer_uom,specification,status,typical_supplier_uoms
SKU-018,SS Item 018,Shipping Supplies,BAG,EK-31-SS-018,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-019,CB Item 019,Corrugated Boxes,EA,S-PLY-3-CB-019,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-020,FP Item 020,Foam & Padding,EA,S-PLY-5-FP-020,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-021,ST Item 021,Strapping & Tapes,EA,FB-38-ST-021,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-022,FW Item 022,Films & Wraps,ROLL,UV-RES-FW-022,ACTIVE,"REEL,ROLL"
SKU-023,LP Item 023,Labels & Print,EA,HS-WRAP-LP-023,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-024,SS Item 024,Shipping Supplies,BAG,EK-31-SS-024,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-025,CB Item 025,Corrugated Boxes,EA,S-PLY-3-CB-025,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-026,FP Item 026,Foam & Padding,EA,S-PLY-5-FP-026,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-027,ST Item 027,Strapping & Tapes,EA,FB-38-ST-027,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-028,FW Item 028,Films & Wraps,ROLL,UV-RES-FW-028,ACTIVE,"REEL,ROLL"
SKU-029,LP Item 029,Labels & Print,EA,HS-WRAP-LP-029,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-030,SS Item 030,Shipping Supplies,BAG,EK-31-SS-030,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-031,CB Item 031,Corrugated Boxes,EA,S-PLY-3-CB-031,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-032,FP Item 032,Foam & Padding,EA,S-PLY-5-FP-032,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-033,ST Item 033,Strapping & Tapes,EA,FB-38-ST-033,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-034,FW Item 034,Films & Wraps,ROLL,UV-RES-FW-034,ACTIVE,"REEL,ROLL"
SKU-035,LP Item 035,Labels & Print,EA,HS-WRAP-LP-035,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-036,SS Item 036,Shipping Supplies,BAG,EK-31-SS-036,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-037,CB Item 037,Corrugated Boxes,EA,S-PLY-3-CB-037,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-038,FP Item 038,Foam & Padding,EA,S-PLY-5-FP-038,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-039,ST Item 039,Strapping & Tapes,EA,FB-38-ST-039,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-040,FW Item 040,Films & Wraps,ROLL,UV-RES-FW-040,ACTIVE,"REEL,ROLL"
SKU-041,LP Item 041,Labels & Print,EA,HS-WRAP-LP-041,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-042,SS Item 042,Shipping Supplies,BAG,EK-31-SS-042,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-043,CB Item 043,Corrugated Boxes,EA,S-PLY-3-CB-043,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-044,FP Item 044,Foam & Padding,EA,S-PLY-5-FP-044,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-045,ST Item 045,Strapping & Tapes,EA,FB-38-ST-045,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-046,FW Item 046,Films & Wraps,ROLL,UV-RES-FW-046,ACTIVE,"REEL,ROLL"
SKU-047,LP Item 047,Labels & Print,EA,HS-WRAP-LP-047,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-048,SS Item 048,Shipping Supplies,BAG,EK-31-SS-048,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-049,CB Item 049,Corrugated Boxes,EA,S-PLY-3-CB-049,ACTIVE,"BOX,CARTON,EA,ROLL"
SKU-050,FP Item 050,Foam & Padding,EA,S-PLY-5-FP-050,ACTIVE,"BOX,CARTON,EA,ROLL"
