offer_id,rfx_id,rfx_line_id,line_number,supplier_id,supplier_product_id,sku_id,supplier_product_code,quoted_description,specification,required_quantity,buyer_uom,quoted_quantity,quoted_uom,quoted_unit_price,quoted_currency,quote_received_date,quote_valid_until,payment_terms,payment_days,freight_amount,freight_basis,moq,lead_time_days,quality_requirement,discount_rule_type,discount_rule_id,discount_percentage,discount_amount,discount_currency,mapping_status,mapping_confidence,extraction_confidence
OFF-0023,RFX-001,LF-22,22,SUP-001,SP-010,SKU-015,A-015,ST Item 015,FB-38-ST-015,4000.0,EA,160.0,BOX,428.0225,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-22,5.0,,,CONFIRMED,0.72,0.95
OFF-0024,RFX-001,LF-13,13,SUP-001,SP-012,SKU-018,A-018,SS Item 018,EK-31-SS-018,27000.0,BAG,27000.0,BAG,11.0855,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,11,PASS_REQUIRED,FLAT_PERCENT,DR-001-13,5.0,,,CONFIRMED,0.63,0.96
OFF-0025,RFX-001,LF-02,2,SUP-001,SP-008,SKU-011,A-011,LP Item 011,HS-WRAP-LP-011,12000.0,EA,24.0,BOX,2907.1,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-02,5.0,,,CONFIRMED,0.7,0.97
OFF-0026,RFX-001,LF-27,27,SUP-001,SP-025,SKU-040,A-040,FW Item 040,UV-RES-FW-040,10000.0,ROLL,833.33,REEL,4639.56,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,12,PASS_REQUIRED,FLAT_PERCENT,DR-001-27,5.0,,,CONFIRMED,0.96,0.92
OFF-0027,RFX-001,LF-18,18,SUP-001,SP-027,SKU-043,A-043,CB Item 043,S-PLY-3-CB-043,22000.0,EA,440.0,CARTON,1587.505,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,11,PASS_REQUIRED,FLAT_PERCENT,DR-001-18,5.0,,,CONFIRMED,0.71,0.97
OFF-0028,RFX-001,LF-19,19,SUP-001,SP-030,SKU-048,A-048,SS Item 048,EK-31-SS-048,9500.0,BAG,9500.0,BAG,11.7481,INR,2026-09-04,2026-12-17,Net 30,30,0,INCLUDED,0.0,10,PASS_REQUIRED,FLAT_PERCENT,DR-001-19,5.0,,,CONFIRMED,0.72,0.88
OFF-0029,RFX-001,LF-15,15,SUP-002,SP-050,SKU-028,B-028,FW Item 028,UV-RES-FW-028,11000.0,ROLL,916.67,REEL,4748.6028,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-15,,,,CONFIRMED,0.78,0.89
OFF-0030,RFX-001,LF-19,19,SUP-002,SP-062,SKU-048,B-048,SS Item 048,EK-31-SS-048,9500.0,BAG,9500.0,BAG,11.4017,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-19,,,,CONFIRMED,0.83,0.92
OFF-0031,RFX-001,LF-14,14,SUP-002,SP-047,SKU-023,B-023,LP Item 023,HS-WRAP-LP-023,7000.0,EA,140.0,BOX,292.285,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-14,,,,CONFIRMED,0.71,0.97
OFF-0032,RFX-001,LF-28,28,SUP-002,SP-060,SKU-045,B-045,ST Item 045,FB-38-ST-045,3.0,EA,0.12,CARTON,426.3125,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,3.75,14,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-28,,,,CONFIRMED,0.97,0.99
OFF-0033,RFX-001,LF-02,2,SUP-002,SP-040,SKU-011,B-011,LP Item 011,HS-WRAP-LP-011,12000.0,EA,480.0,BOX,152.3725,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-02,,,,CONFIRMED,0.99,0.87
OFF-0034,RFX-001,LF-17,17,SUP-002,SP-056,SKU-038,B-038,FP Item 038,S-PLY-5-FP-038,3500.0,EA,17.5,BOX,5358.88,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-17,,,,CONFIRMED,0.78,0.89
OFF-0035,RFX-001,LF-22,22,SUP-002,SP-042,SKU-015,B-015,ST Item 015,FB-38-ST-015,4000.0,EA,80.0,CARTON,816.08,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-22,,,,CONFIRMED,0.67,0.91
OFF-0036,RFX-001,LF-16,16,SUP-002,SP-053,SKU-033,B-033,ST Item 033,FB-38-ST-033,14000.0,EA,28.0,BOX,9502.55,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,17500.0,14,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-16,,,,CONFIRMED,0.64,0.91
OFF-0037,RFX-001,LF-12,12,SUP-002,SP-041,SKU-013,B-013,CB Item 013,S-PLY-3-CB-013,5000.0,EA,25.0,BOX,7158.48,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,6250.0,15,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-12,,,,CONFIRMED,0.67,0.94
OFF-0038,RFX-001,LF-04,4,SUP-002,SP-046,SKU-021,B-021,ST Item 021,FB-38-ST-021,8000.0,EA,40.0,BOX,3783.62,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,10000.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-04,,,,CONFIRMED,0.89,0.9
OFF-0039,RFX-001,LF-11,11,SUP-002,SP-038,SKU-008,B-008,FP Item 008,S-PLY-5-FP-008,18000.0,EA,36.0,BOX,13268.05,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,10,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-11,,,,CONFIRMED,0.92,0.97
OFF-0040,RFX-001,LF-03,3,SUP-002,SP-043,SKU-016,B-016,FW Item 016,UV-RES-FW-016,15000.0,ROLL,1250.0,REEL,4979.604,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,15,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-03,,,,CONFIRMED,0.8,0.95
OFF-0041,RFX-001,LF-09,9,SUP-002,SP-061,SKU-046,B-046,FW Item 046,UV-RES-FW-046,4500.0,ROLL,375.0,REEL,4421.9076,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-09,,,,CONFIRMED,0.93,0.86
OFF-0042,RFX-001,LF-05,5,SUP-002,SP-049,SKU-026,B-026,FP Item 026,S-PLY-5-FP-026,30000.0,EA,300.0,BOX,2434.99,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,9,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-05,,,,CONFIRMED,0.7,0.9
OFF-0043,RFX-001,LF-08,8,SUP-002,SP-058,SKU-041,B-041,LP Item 041,HS-WRAP-LP-041,7500.0,EA,15.0,BOX,3070.55,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,9375.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-08,,,,CONFIRMED,0.81,0.93
OFF-0044,RFX-001,LF-20,20,SUP-002,SP-035,SKU-005,B-005,LP Item 005,HS-WRAP-LP-005,16000.0,EA,640.0,BOX,156.38,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,20000.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-20,,,,CONFIRMED,0.68,0.98
OFF-0045,RFX-001,LF-18,18,SUP-002,SP-059,SKU-043,B-043,CB Item 043,S-PLY-3-CB-043,22000.0,EA,220.0,BOX,3263.91,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,12,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-18,,,,CONFIRMED,0.67,0.92
OFF-0046,RFX-001,LF-06,6,SUP-002,SP-052,SKU-031,B-031,CB Item 031,S-PLY-3-CB-031,6000.0,EA,120.0,BOX,1754.985,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,16,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-06,,,,CONFIRMED,0.77,0.93
OFF-0047,RFX-001,LF-10,10,SUP-002,SP-034,SKU-003,B-003,ST Item 003,FB-38-ST-003,9000.0,EA,90.0,BOX,1723.24,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-10,,,,CONFIRMED,0.71,0.91
OFF-0048,RFX-001,LF-26,26,SUP-002,SP-054,SKU-035,B-035,LP Item 035,HS-WRAP-LP-035,61000.0,EA,610.0,CARTON,578.57,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,16,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-26,,,,CONFIRMED,0.89,0.92
OFF-0049,RFX-001,LF-25,25,SUP-002,SP-051,SKU-030,B-030,SS Item 030,EK-31-SS-030,6500.0,BAG,6500.0,BAG,12.4045,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-25,,,,CONFIRMED,0.93,0.88
OFF-0050,RFX-001,LF-27,27,SUP-002,SP-057,SKU-040,B-040,FW Item 040,UV-RES-FW-040,10000.0,ROLL,833.33,REEL,4635.7104,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-27,,,,CONFIRMED,0.75,0.98
OFF-0051,RFX-001,LF-01,1,SUP-002,SP-036,SKU-006,B-006,SS Item 006,EK-31-SS-006,20000.0,BAG,20000.0,BAG,11.5968,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-01,,,,CONFIRMED,0.85,0.97
OFF-0052,RFX-001,LF-07,7,SUP-002,SP-055,SKU-036,B-036,SS Item 036,EK-31-SS-036,1000.0,BAG,1000.0,BAG,11.9952,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-07,,,,UNRESOLVED,0.65,0.9
OFF-0053,RFX-001,LF-21,21,SUP-002,SP-039,SKU-010,B-010,FW Item 010,UV-RES-FW-010,13000.0,ROLL,1083.33,REEL,5085.594,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,11,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-21,,,,CONFIRMED,0.65,0.86
OFF-0054,RFX-001,LF-23,23,SUP-002,SP-045,SKU-020,B-020,FP Item 020,S-PLY-5-FP-020,200000.0,EA,8000.0,CARTON,635.7925,INR,2026-09-04,2026-11-17,Net 60,60,15000.0,EXTRA_PER_SHIPMENT,0.0,13,PASS_REQUIRED,QUANTITY_TIER_PERCENT,DR-002-23,,,,CONFIRMED,0.81,0.92
OFF-0055,RFX-001,LF-12,12,SUP-003,SP-073,SKU-013,C-013,CB Item 013,S-PLY-3-CB-013,5000.0,EA,10.0,BOX,188.2855,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,16,PASS_REQUIRED,,DR-003-12,,,,CONFIRMED,0.83,0.98
OFF-0056,RFX-001,LF-15,15,SUP-003,SP-082,SKU-028,C-028,FW Item 028,UV-RES-FW-028,11000.0,ROLL,916.67,REEL,54.3447,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-15,,,,CONFIRMED,0.78,0.91
OFF-0057,RFX-001,LF-13,13,SUP-003,SP-076,SKU-018,C-018,SS Item 018,EK-31-SS-018,27000.0,BAG,27000.0,BAG,0.118,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,13,PASS_REQUIRED,,DR-003-13,,,,CONFIRMED,0.64,0.93
OFF-0058,RFX-001,LF-07,7,SUP-003,SP-087,SKU-036,C-036,SS Item 036,EK-31-SS-036,1000.0,BAG,1000.0,BAG,0.1253,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-07,,,,CONFIRMED,0.86,0.95
OFF-0059,RFX-001,LF-10,10,SUP-003,SP-066,SKU-003,C-003,ST Item 003,FB-38-ST-003,9000.0,EA,45.0,CARTON,39.4634,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-10,,,,AI_SUGGESTED,0.77,0.88
OFF-0060,RFX-001,LF-02,2,SUP-003,SP-072,SKU-011,C-011,LP Item 011,HS-WRAP-LP-011,12000.0,EA,240.0,CARTON,3.1414,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-02,,,,CONFIRMED,0.82,0.98
OFF-0061,RFX-001,LF-14,14,SUP-003,SP-079,SKU-023,C-023,LP Item 023,HS-WRAP-LP-023,7000.0,EA,70.0,BOX,6.3431,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-14,,,,CONFIRMED,0.7,0.96
OFF-0062,RFX-001,LF-08,8,SUP-003,SP-090,SKU-041,C-041,LP Item 041,HS-WRAP-LP-041,7500.0,EA,300.0,CARTON,1.6581,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-08,,,,CONFIRMED,0.7,0.94
OFF-0063,RFX-001,LF-24,24,SUP-003,SP-080,SKU-025,C-025,CB Item 025,S-PLY-3-CB-025,8500.0,EA,340.0,BOX,9.5561,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,16,PASS_REQUIRED,,DR-003-24,,,,CONFIRMED,0.88,0.93
OFF-0064,RFX-001,LF-20,20,SUP-003,SP-067,SKU-005,C-005,LP Item 005,HS-WRAP-LP-005,16000.0,EA,320.0,BOX,3.129,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-20,,,,CONFIRMED,0.81,0.89
OFF-0065,RFX-001,LF-27,27,SUP-003,SP-089,SKU-040,C-040,FW Item 040,UV-RES-FW-040,10000.0,ROLL,833.33,REEL,52.927,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-27,,,,CONFIRMED,1.0,0.92
OFF-0066,RFX-001,LF-16,16,SUP-003,SP-085,SKU-033,C-033,ST Item 033,FB-38-ST-033,14000.0,EA,560.0,BOX,4.8182,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,15,PASS_REQUIRED,,DR-003-16,,,,CONFIRMED,0.86,0.94
OFF-0067,RFX-001,LF-21,21,SUP-003,SP-071,SKU-010,C-010,FW Item 010,UV-RES-FW-010,13000.0,ROLL,1083.33,REEL,57.9024,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-21,,,,CONFIRMED,0.96,0.91
OFF-0068,RFX-001,LF-23,23,SUP-003,SP-077,SKU-020,C-020,FP Item 020,S-PLY-5-FP-020,200000.0,EA,4000.0,BOX,13.7455,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,14,PASS_REQUIRED,,DR-003-23,,,,AI_SUGGESTED,0.66,0.88
OFF-0069,RFX-001,LF-06,6,SUP-003,SP-084,SKU-031,C-031,CB Item 031,S-PLY-3-CB-031,6000.0,EA,60.0,CARTON,34.4066,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,17,PASS_REQUIRED,,DR-003-06,,,,CONFIRMED,0.84,0.94
OFF-0070,RFX-001,LF-05,5,SUP-003,SP-081,SKU-026,C-026,FP Item 026,S-PLY-5-FP-026,30000.0,EA,150.0,CARTON,52.981,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,10,PASS_REQUIRED,,DR-003-05,,,,CONFIRMED,0.92,0.89
OFF-0071,RFX-001,LF-04,4,SUP-003,SP-078,SKU-021,C-021,ST Item 021,FB-38-ST-021,8000.0,EA,16.0,CARTON,102.0306,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-04,,,,CONFIRMED,0.89,0.94
OFF-0072,RFX-001,LF-22,22,SUP-003,SP-074,SKU-015,C-015,ST Item 015,FB-38-ST-015,4000.0,EA,40.0,BOX,18.2432,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-22,,,,CONFIRMED,0.65,0.88
OFF-0073,RFX-001,LF-09,9,SUP-003,SP-093,SKU-046,C-046,FW Item 046,UV-RES-FW-046,4500.0,ROLL,375.0,REEL,50.7215,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-09,,,,CONFIRMED,0.93,0.94
OFF-0074,RFX-001,LF-01,1,SUP-003,SP-068,SKU-006,C-006,SS Item 006,EK-31-SS-006,20000.0,BAG,20000.0,BAG,0.1312,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-01,,,,CONFIRMED,0.9,0.86
OFF-0075,RFX-001,LF-19,19,SUP-003,SP-094,SKU-048,C-048,SS Item 048,EK-31-SS-048,9500.0,BAG,9500.0,BAG,0.1281,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,12,PASS_REQUIRED,,DR-003-19,,,,CONFIRMED,0.99,0.94
OFF-0076,RFX-001,LF-11,11,SUP-003,SP-070,SKU-008,C-008,FP Item 008,S-PLY-5-FP-008,18000.0,EA,720.0,BOX,6.7167,USD,2026-09-04,2026-10-18,Net 30,30,0,INCLUDED,20000.0,11,PASS_REQUIRED,,DR-003-11,,,,CONFIRMED,0.97,0.88
OFF-0077,RFX-001,LF-26,26,SUP-004,SP-118,SKU-035,D-035,LP Item 035,HS-WRAP-LP-035,61000.0,EA,122.0,BOX,3257.55,INR,2026-09-04,2026-11-02,Net 15,15,8000.0,EXTRA_PER_SHIPMENT,0.0,20,PASS_REQUIRED,,DR-004-26,,,,CONFIRMED,0.86,0.91
OFF-0078,RFX-001,LF-09,9,SUP-004,SP-125,SKU-046,D-046,FW Item 046,UV-RES-FW-046,4500.0,ROLL,375.0,REEL,5059.7556,INR,2026-09-04,2026-11-02,Net 15,15,8000.0,EXTRA_PER_SHIPMENT,0.0,17,PASS_REQUIRED,,DR-004-09,,,,CONFIRMED,0.78,0.88
