evidence_id,offer_id,source_type,source_file,page_number,source_location,source_text,extracted_value,extraction_confidence,normalization_confidence,verification_status,requires_review
EVD-0038,OFF-0038,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 4,Qty 40.0 × BOX @ INR 3783.62,3783.62,HIGH,HIGH,NORMALIZED,False
EVD-0039,OFF-0039,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 11,Qty 36.0 × BOX @ INR 13268.05,13268.05,HIGH,HIGH,NORMALIZED,False
EVD-0040,OFF-0040,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 3,Qty 1250.0 × REEL @ INR 4979.604,4979.604,HIGH,HIGH,NORMALIZED,False
EVD-0041,OFF-0041,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 9,Qty 375.0 × REEL @ INR 4421.9076,4421.9076,HIGH,HIGH,NORMALIZED,False
EVD-0042,OFF-0042,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 5,Qty 300.0 × BOX @ INR 2434.99,2434.99,HIGH,HIGH,NORMALIZED,False
EVD-0043,OFF-0043,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 8,Qty 15.0 × BOX @ INR 3070.55,3070.55,HIGH,HIGH,NORMALIZED,False
EVD-0044,OFF-0044,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 20,Qty 640.0 × BOX @ INR 156.38,156.38,HIGH,HIGH,NORMALIZED,False
EVD-0045,OFF-0045,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 18,Qty 220.0 × BOX @ INR 3263.91,3263.91,HIGH,HIGH,NORMALIZED,False
EVD-0046,OFF-0046,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 6,Qty 120.0 × BOX @ INR 1754.985,1754.985,HIGH,HIGH,NORMALIZED,False
EVD-0047,OFF-0047,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 10,Qty 90.0 × BOX @ INR 1723.24,1723.24,HIGH,HIGH,NORMALIZED,False
EVD-0048,OFF-0048,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 26,Qty 610.0 × CARTON @ INR 578.57,578.57,HIGH,HIGH,NORMALIZED,False
EVD-0049,OFF-0049,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 25,Qty 6500.0 × BAG @ INR 12.4045,12.4045,HIGH,HIGH,NORMALIZED,False
EVD-0050,OFF-0050,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 27,Qty 833.33 × REEL @ INR 4635.7104,4635.7104,HIGH,HIGH,NORMALIZED,False
EVD-0051,OFF-0051,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 1,Qty 20000.0 × BAG @ INR 11.5968,11.5968,HIGH,HIGH,NORMALIZED,False
EVD-0052,OFF-0052,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 7,Qty 1000.0 × BAG @ INR 11.9952,11.9952,HIGH,HIGH,NORMALIZED,False
EVD-0053,OFF-0053,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 21,Qty 1083.33 × REEL @ INR 5085.594,5085.594,HIGH,HIGH,NORMALIZED,False
EVD-0054,OFF-0054,PDF,Supplier_B_Quote.pdf,,Page 1 · Line 23,Qty 8000.0 × CARTON @ INR 635.7925,635.7925,HIGH,HIGH,NORMALIZED,False
EVD-0055,OFF-0055,EXCEL,Supplier_C_Quote.xlsx,,Quote!B27,Qty 10.0 × BOX @ USD 188.2855,188.2855,HIGH,HIGH,NORMALIZED,False
EVD-0056,OFF-0056,EXCEL,Supplier_C_Quote.xlsx,,Quote!B28,Qty 916.67 × REEL @ USD 54.3447,54.3447,HIGH,HIGH,NORMALIZED,False
EVD-0057,OFF-0057,EXCEL,Supplier_C_Quote.xlsx,,Quote!B29,Qty 27000.0 × BAG @ USD 0.118,0.118,HIGH,HIGH,NORMALIZED,False
EVD-0058,OFF-0058,EXCEL,Supplier_C_Quote.xlsx,,Quote!B30,Qty 1000.0 × BAG @ USD 0.1253,0.1253,HIGH,HIGH,NORMALIZED,False
EVD-0059,OFF-0059,EXCEL,Supplier_C_Quote.xlsx,,Quote!B31,Qty 45.0 × CARTON @ USD 39.4634,39.4634,HIGH,HIGH,NORMALIZED,False
EVD-0060,OFF-0060,EXCEL,Supplier_C_Quote.xlsx,,Quote!B32,Qty 240.0 × CARTON @ USD 3.1414,3.1414,HIGH,HIGH,NORMALIZED,False
EVD-0061,OFF-0061,EXCEL,Supplier_C_Quote.xlsx,,Quote!B33,Qty 70.0 × BOX @ USD 6.3431,6.3431,HIGH,HIGH,NORMALIZED,False
EVD-0062,OFF-0062,EXCEL,Supplier_C_Quote.xlsx,,Quote!B34,Qty 300.0 × CARTON @ USD 1.6581,1.6581,HIGH,HIGH,NORMALIZED,False
EVD-0063,OFF-0063,EXCEL,Supplier_C_Quote.xlsx,,Quote!B35,Qty 340.0 × BOX @ USD 9.5561,9.5561,HIGH,HIGH,NORMALIZED,False
EVD-0064,OFF-0064,EXCEL,Supplier_C_Quote.xlsx,,Quote!B36,Qty 320.0 × BOX @ USD 3.129,3.129,HIGH,HIGH,NORMALIZED,False
EVD-0065,OFF-0065,EXCEL,Supplier_C_Quote.xlsx,,Quote!B37,Qty 833.33 × REEL @ USD 52.927,52.927,HIGH,HIGH,NORMALIZED,False
EVD-0066,OFF-0066,EXCEL,Supplier_C_Quote.xlsx,,Quote!B38,Qty 560.0 × BOX @ USD 4.8182,4.8182,HIGH,HIGH,NORMALIZED,False
EVD-0067,OFF-0067,EXCEL,Supplier_C_Quote.xlsx,,Quote!B39,Qty 1083.33 × REEL @ USD 57.9024,57.9024,HIGH,HIGH,NORMALIZED,False
EVD-0068,OFF-0068,EXCEL,Supplier_C_Quote.xlsx,,Quote!B6,Qty 4000.0 × BOX @ USD 13.7455,13.7455,HIGH,HIGH,NORMALIZED,False
EVD-0069,OFF-0069,EXCEL,Supplier_C_Quote.xlsx,,Quote!B7,Qty 60.0 × CARTON @ USD 34.4066,34.4066,HIGH,HIGH,NORMALIZED,False
EVD-0070,OFF-0070,EXCEL,Supplier_C_Quote.xlsx,,Quote!B8,Qty 150.0 × CARTON @ USD 52.981,52.981,HIGH,HIGH,NORMALIZED,False
EVD-0071,OFF-0071,EXCEL,Supplier_C_Quote.xlsx,,Quote!B9,Qty 16.0 × CARTON @ USD 102.0306,102.0306,HIGH,HIGH,NORMALIZED,False
EVD-0072,OFF-0072,EXCEL,Supplier_C_Quote.xlsx,,Quote!B10,Qty 40.0 × BOX @ USD 18.2432,18.2432,HIGH,HIGH,NORMALIZED,False
EVD-0073,OFF-0073,EXCEL,Supplier_C_Quote.xlsx,,Quote!B11,Qty 375.0 × REEL @ USD 50.7215,50.7215,HIGH,HIGH,NORMALIZED,False
EVD-0074,OFF-0074,EXCEL,Supplier_C_Quote.xlsx,,Quote!B12,Qty 20000.0 × BAG @ USD 0.1312,0.1312,HIGH,HIGH,NORMALIZED,False
EVD-0075,OFF-0075,EXCEL,Supplier_C_Quote.xlsx,,Quote!B13,Qty 9500.0 × BAG @ USD 0.1281,0.1281,HIGH,HIGH,NORMALIZED,False
EVD-0076,OFF-0076,EXCEL,Supplier_C_Quote.xlsx,,Quote!B14,Qty 720.0 × BOX @ USD 6.7167,6.7167,HIGH,HIGH,NORMALIZED,False
EVD-0077,OFF-0077,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 23,Qty 122.0 × BOX @ INR 3257.55,3257.55,MEDIUM,HIGH,NORMALIZED,False
EVD-0078,OFF-0078,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 24,Qty 375.0 × REEL @ INR 5059.7556,5059.7556,MEDIUM,HIGH,NORMALIZED,False
EVD-0079,OFF-0079,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 25,Qty 360.0 × CARTON @ INR 1452.78,1452.78,MEDIUM,HIGH,NORMALIZED,False
EVD-0080,OFF-0080,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 6,Qty 1000.0 × BAG @ INR 13.4345,13.4345,MEDIUM,HIGH,NORMALIZED,False
EVD-0081,OFF-0081,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 7,Qty 150.0 × BOX @ INR 332.085,332.085,MEDIUM,HIGH,NORMALIZED,False
EVD-0082,OFF-0082,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 8,Qty 6500.0 × BAG @ INR 14.0075,14.0075,MEDIUM,HIGH,NORMALIZED,False
EVD-0083,OFF-0083,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 9,Qty 0.0 × UNKNOWN @ INR 530.085,530.085,LOW,HIGH,REVIEW_REQUIRED,True
EVD-0084,OFF-0084,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 10,Qty 18.0 × BOX @ INR 9747.2,9747.2,MEDIUM,HIGH,NORMALIZED,False
EVD-0085,OFF-0085,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 11,Qty 280.0 × CARTON @ INR 1050.99,1050.99,MEDIUM,HIGH,NORMALIZED,False
EVD-0086,OFF-0086,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 12,Qty 44.0 × CARTON @ INR 17454.45,17454.45,MEDIUM,HIGH,NORMALIZED,False
EVD-0087,OFF-0087,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 13,Qty 170.0 × BOX @ INR 1813.095,1813.095,MEDIUM,HIGH,NORMALIZED,False
EVD-0088,OFF-0088,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 14,Qty 60.0 × BOX @ INR 14184.55,14184.55,MEDIUM,HIGH,NORMALIZED,False
EVD-0089,OFF-0089,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 15,Qty 20000.0 × BAG @ INR 13.175,13.175,MEDIUM,HIGH,NORMALIZED,False
EVD-0090,OFF-0090,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 16,Qty 35.0 × CARTON @ INR 1252.52,1252.52,MEDIUM,HIGH,NORMALIZED,False
EVD-0091,OFF-0091,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 17,Qty 140.0 × CARTON @ INR 790.0425,790.0425,MEDIUM,HIGH,NORMALIZED,False
EVD-0092,OFF-0092,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 18,Qty 160.0 × CARTON @ INR 663.84,663.84,MEDIUM,HIGH,NORMALIZED,False
EVD-0093,OFF-0093,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 19,Qty 0.0 × UNKNOWN @ INR 13.5037,13.5037,LOW,HIGH,REVIEW_REQUIRED,True
EVD-0094,OFF-0094,IMAGE,Supplier_D_Rate_Card.jpg,,Grid row 20,Qty 1250.0 × REEL @ INR 5729.0388,5729.0388,MEDIUM,HIGH,NORMALIZED,False
EVD-0095,OFF-0095,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 27,Qty 833.33 × REEL @ INR 4680.2748,4680.2748,HIGH,HIGH,NORMALIZED,False
EVD-0096,OFF-0096,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 7,Qty 1000.0 × BAG @ INR 11.5553,11.5553,HIGH,HIGH,NORMALIZED,False
EVD-0097,OFF-0097,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 4,Qty 160.0 × BOX @ INR 933.725,933.725,HIGH,HIGH,NORMALIZED,False
EVD-0098,OFF-0098,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 10,Qty 360.0 × BOX @ INR 434.8525,434.8525,HIGH,HIGH,NORMALIZED,False
EVD-0099,OFF-0099,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 22,Qty 8.0 × CARTON @ INR 8090.35,8090.35,HIGH,HIGH,NORMALIZED,False
EVD-0100,OFF-0100,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 9,Qty 375.0 × REEL @ INR 4605.9336,4605.9336,HIGH,HIGH,NORMALIZED,False
EVD-0101,OFF-0101,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 14,Qty 14.0 × BOX @ INR 2782.8,2782.8,HIGH,HIGH,NORMALIZED,False
EVD-0102,OFF-0102,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 2,Qty 60.0 × BOX @ INR 1167.8,1167.8,HIGH,HIGH,NORMALIZED,False
EVD-0103,OFF-0103,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 5,Qty 1200.0 × BOX @ INR 611.365,611.365,HIGH,HIGH,NORMALIZED,False
EVD-0104,OFF-0104,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 13,Qty 27000.0 × BAG @ INR 10.9574,10.9574,HIGH,HIGH,NORMALIZED,False
EVD-0105,OFF-0105,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 28,Qty 0.01 × CARTON @ INR 3521.02,3521.02,HIGH,HIGH,NORMALIZED,False
EVD-0106,OFF-0106,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 16,Qty 140.0 × BOX @ INR 1854.17,1854.17,HIGH,HIGH,NORMALIZED,False
EVD-0107,OFF-0107,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 19,Qty 9500.0 × BAG @ INR 11.6531,11.6531,HIGH,HIGH,NORMALIZED,False
EVD-0108,OFF-0108,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 23,Qty 1000.0 × CARTON @ INR 4701.08,4701.08,HIGH,HIGH,NORMALIZED,False
EVD-0109,OFF-0109,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 1,Qty 20000.0 × BAG @ INR 10.8673,10.8673,HIGH,HIGH,NORMALIZED,False
EVD-0110,OFF-0110,EMAIL,Supplier_E_Email.txt,,Paragraph 2 · line item 26,Qty 2440.0 × CARTON @ INR 134.1,134.1,HIGH,HIGH,NORMALIZED,False
EVD-0111,OFF-0111,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 5,Qty 600.0 × CARTON @ INR 1248.15,1248.15,HIGH,HIGH,NORMALIZED,False
EVD-0112,OFF-0112,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 15,Qty 916.67 × REEL @ INR 5228.4504,5228.4504,HIGH,HIGH,NORMALIZED,False
EVD-0113,OFF-0113,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 12,Qty 50.0 × BOX @ INR 3671.66,3671.66,HIGH,HIGH,NORMALIZED,False
EVD-0114,OFF-0114,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 20,Qty 32.0 × BOX @ INR 3220.7,3220.7,HIGH,HIGH,NORMALIZED,False
EVD-0115,OFF-0115,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 6,Qty 240.0 × CARTON @ INR 841.2925,841.2925,HIGH,HIGH,NORMALIZED,False
EVD-0116,OFF-0116,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 8,Qty 37.5 × CARTON @ INR 1308.96,1308.96,HIGH,HIGH,NORMALIZED,False
EVD-0117,OFF-0117,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 23,Qty 400.0 × BOX @ INR 13508.2,13508.2,HIGH,HIGH,NORMALIZED,False
EVD-0118,OFF-0118,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 16,Qty 70.0 × BOX @ INR 4042.02,4042.02,HIGH,HIGH,NORMALIZED,False
EVD-0119,OFF-0119,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 28,Qty 0.01 × BOX @ INR 9735.9,9735.9,HIGH,HIGH,NORMALIZED,False
EVD-0120,OFF-0120,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 3,Qty 1250.0 × REEL @ INR 5337.954,5337.954,HIGH,HIGH,NORMALIZED,False
EVD-0121,OFF-0121,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 26,Qty 1220.0 × BOX @ INR 290.52,290.52,HIGH,HIGH,NORMALIZED,False
EVD-0122,OFF-0122,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 1,Qty 20000.0 × BAG @ INR 12.7022,12.7022,HIGH,HIGH,NORMALIZED,False
EVD-0123,OFF-0123,PDF,Supplier_F_Quote.pdf,,Page 1 · Line 7,Qty 1000.0 × BAG @ INR 12.4403,12.4403,HIGH,HIGH,NORMALIZED,False
EVD-0124,OFF-0124,EXCEL,Supplier_G_Quote.xlsx,,Quote!B28,Qty 375.0 × REEL @ INR 5235.5532,5235.5532,HIGH,HIGH,NORMALIZED,False
EVD-0125,OFF-0125,EXCEL,Supplier_G_Quote.xlsx,,Quote!B29,Qty 27000.0 × BAG @ INR 13.0905,13.0905,HIGH,HIGH,NORMALIZED,False
EVD-0126,OFF-0126,EXCEL,Supplier_G_Quote.xlsx,,Quote!B30,Qty 220.0 × CARTON @ INR 3649.58,3649.58,HIGH,HIGH,NORMALIZED,False
EVD-0127,OFF-0127,EXCEL,Supplier_G_Quote.xlsx,,Quote!B31,Qty 8000.0 × BOX @ INR 728.995,728.995,HIGH,HIGH,NORMALIZED,False
EVD-0128,OFF-0128,EXCEL,Supplier_G_Quote.xlsx,,Quote!B32,Qty 140.0 × CARTON @ INR 318.41,318.41,HIGH,HIGH,NORMALIZED,False
EVD-0129,OFF-0129,EXCEL,Supplier_G_Quote.xlsx,,Quote!B33,Qty 25.0 × CARTON @ INR 7615.7,7615.7,HIGH,HIGH,NORMALIZED,False
EVD-0130,OFF-0130,EXCEL,Supplier_G_Quote.xlsx,,Quote!B34,Qty 6500.0 × BAG @ INR 13.6008,13.6008,HIGH,HIGH,NORMALIZED,False
EVD-0131,OFF-0131,EXCEL,Supplier_G_Quote.xlsx,,Quote!B35,Qty 610.0 × BOX @ INR 630.03,630.03,HIGH,HIGH,NORMALIZED,False
